0.126817883	429
0.085805668	806
0.106656365	660
0.088391826	819
0.153806727	2474
0.104317624	329
0.151153381	1570
0.14966875	893
0.059022679	309
0.157301524	170
0.156802861	393
0.029231513	75
0.144615973	228
0.137560729	2338
0.130544178	418
0.028225518	500
0.143861999	106
0.072389041	232
0.092672884	709
0.162784143	2219
0.016534255	239
0.120134011	1496
0.124689111	1517
0.128522309	110
0.151919532	1885
0.215731457	986
0.128177361	888
0.042821795	302
0.115358044	740
0.141337363	1185
0.143278891	367
0.078786771	388
0.113879702	2161
0.177886801	316
0.200778896	150
0.190863722	340
0.180306345	928
0.118302143	2025
0.074738514	430
0.145170675	250
0.199634806	845
0.171056451	2473
0.114976392	165
0.021446718	53
0.099745424	41
0.112118295	261
0.11574712	2698
0.12208996	389
0.107361212	110
0.126119938	491
0.202518173	343
0.191829808	444
0.149991018	2187
0.132157844	470
0.165859683	477
0.129755374	2067
0.142618592	3071
0.111773876	620
0.138605732	1733
0.110368882	437
0.074657732	1555
0.090761793	614
